tipo_post;post_id;post_link;link;link_domain;UrlCompleta;titulo_facebook
link;71339054219_10153113366244220;https://www.facebook.com/71339054219/posts/10153113366244220;http://a.ln.com.ar/1IHuWwi;;URL NULL;
link;71339054219_10153113437839220;https://www.facebook.com/71339054219/posts/10153113437839220;http://a.ln.com.ar/1IHJsEn;;URL NULL;
photo;71339054219_10153113455259220;https://www.facebook.com/71339054219/posts/10153113455259220;http://a.ln.com.ar/1KMVM5s;;URL NULL;
link;71339054219_10153113499369220;https://www.facebook.com/71339054219/posts/10153113499369220;http://a.ln.com.ar/1MItJYg;;URL NULL;
photo;71339054219_10153113546949220;https://www.facebook.com/71339054219/posts/10153113546949220;http://a.ln.com.ar/1SEoX1G;;URL NULL;
link;71339054219_10153113547919220;https://www.facebook.com/71339054219/posts/10153113547919220;http://a.ln.com.ar/1MIxOeX;;URL NULL;
link;71339054219_10153113604919220;https://www.facebook.com/71339054219/posts/10153113604919220;http://a.ln.com.ar/1IHuAFU;;URL NULL;
link;71339054219_10153113654074220;https://www.facebook.com/71339054219/posts/10153113654074220;http://a.ln.com.ar/1MIsBDT;;URL NULL;
link;71339054219_10153113712594220;https://www.facebook.com/71339054219/posts/10153113712594220;http://a.ln.com.ar/1KMWGit;;URL NULL;
link;71339054219_10153113796874220;https://www.facebook.com/71339054219/posts/10153113796874220;http://a.ln.com.ar/1KNddms;;URL NULL;
link;71339054219_10153113839009220;https://www.facebook.com/71339054219/posts/10153113839009220;http://a.ln.com.ar/1KNejyM;;URL NULL;
photo;71339054219_10153113849104220;https://www.facebook.com/71339054219/posts/10153113849104220;http://a.ln.com.ar/1P1V4D2;;URL NULL;
link;71339054219_10153113891379220;https://www.facebook.com/71339054219/posts/10153113891379220;http://a.ln.com.ar/1KNgKRG;;URL NULL;
photo;71339054219_10153113914999220;https://www.facebook.com/71339054219/posts/10153113914999220;http://a.ln.com.ar/1IIu6PQ;;URL NULL;
link;71339054219_10153113921509220;https://www.facebook.com/71339054219/posts/10153113921509220;http://a.ln.com.ar/1K1cQly;;URL NULL;
link;71339054219_10153113972544220;https://www.facebook.com/71339054219/posts/10153113972544220;http://a.ln.com.ar/1MIKp1y;;URL NULL;
link;71339054219_10153114035429220;https://www.facebook.com/71339054219/posts/10153114035429220;http://a.ln.com.ar/1MISB25;;URL NULL;
link;71339054219_10153114053439220;https://www.facebook.com/71339054219/posts/10153114053439220;http://a.ln.com.ar/1MIQsmY;;URL NULL;
link;71339054219_10153114072719220;https://www.facebook.com/71339054219/posts/10153114072719220;http://a.ln.com.ar/1P2aO90;;URL NULL;
link;71339054219_10153114097939220;https://www.facebook.com/71339054219/posts/10153114097939220;http://a.ln.com.ar/1KMTqqg;;URL NULL;
link;71339054219_10153114126359220;https://www.facebook.com/71339054219/posts/10153114126359220;http://a.ln.com.ar/1eP9tFF;;URL NULL;
link;71339054219_10153114171579220;https://www.facebook.com/71339054219/posts/10153114171579220;http://a.ln.com.ar/1MIR3Vz;;URL NULL;
link;71339054219_10153114203219220;https://www.facebook.com/71339054219/posts/10153114203219220;http://a.ln.com.ar/1P28hM0;;URL NULL;
link;71339054219_10153114223189220;https://www.facebook.com/71339054219/posts/10153114223189220;http://a.ln.com.ar/1eP8XaC;;URL NULL;
link;71339054219_10153114237684220;https://www.facebook.com/71339054219/posts/10153114237684220;http://a.ln.com.ar/1P28GOF;;URL NULL;
link;71339054219_10153114546244220;https://www.facebook.com/71339054219/posts/10153114546244220;http://a.ln.com.ar/1OMQcko;;URL NULL;
photo;71339054219_10153114546394220;https://www.facebook.com/71339054219/posts/10153114546394220;https://www.facebook.com/lanacion/photos/a.10150092000724220.273081.71339054219/10153114546394220/?type=3;;URL NULL;
photo;71339054219_10153114550404220;https://www.facebook.com/71339054219/posts/10153114550404220;https://www.facebook.com/lanacion/photos/a.10150092000724220.273081.71339054219/10153114550404220/?type=3;;URL NULL;
photo;71339054219_10153114551394220;https://www.facebook.com/71339054219/posts/10153114551394220;https://www.facebook.com/lanacion/photos/a.10150092000724220.273081.71339054219/10153114551394220/?type=3;;URL NULL;
